abejaip	_ _
emajaiènaið	_ e m a j' e j tS n a j S _
emajaièni	_ e m a j' e j tS' n' i _
emajama	_ e m a j' e m a _
emajamai	_ e m a j' e m a j _
emajami	_ e m a j' e m' i _
emajamis	_ e m a j' e m' i s _
emajamið	_ e m a j' e m' i S _
emajamo	_ e m a j' e m oo _
emajanit	_ e m a j' e n' i t _
emajat	_ e m a j' e t _
emali	_ e m a l' i _
emama	_ e m a m a _
emamai	_ e m a m a j _
emami	_ e m a m' i _
emamis	_ e m a m' i s _
emamið	_ e m a m' i S _
emamo	_ e m a m oo _
emancip	_ e m a n' ts' i p _
emanit	_ e m a n' i t _
emat	_ e m a t _
emi	_ e m' i _
emigr	_ e m' i g r _
emik	_ e m' i k _
emis	_ e m' i s _
emit	_ e m' i t _
emið	_ e m' i S _
emo	_ e m oo _
emovad	_ e m oo v a t _
emt	_ e m t _
emu	_ E m u _
emut	_ e m u t _
emë	_ e m' ee _
emëmut	_ e m' ee m u t _
emð	_ e m S _
end	_ e n t _
endoprotez	_ e n d oo p r oo t' e s _
endoteliz	_ e n d oo t' e l' i s _
eng	_ e n k _
enk	_ Ea n k _
ent	_ e n t _
erd	_ e r t _
erdvin	_ e r' d' v' i n _
erdvë	_ e r' d' v' eE _
erdë	_ e r' d' ee _
erg	_ e r k _
erk	_ e r k _
ernani	_ e r n a n' I _
erod	_ e r oo t _
erp	_ e r p _
ert	_ e r t _
erz	_ e r s _
erzeli	_ e r' z' e l' i _
erzin	_ e r' z' i n _
erð	_ e r S _
esk	_ e s k _
eskal	_ e s k a l _
eskiz	_ e s' k' i s _
eskort	_ e s k oo r t _
eso	_ e s oo _
esoi	_ e s oo j _
esoiso	_ e s oo j s oo _
esoisoi	_ e s oo j s oo j _
esoisoisu	_ e s oo j s oo j s u _
esoisoisui	_ e s oo j s oo j s u j _
esoisoièna	_ e s oo j s oo j tS n a _
esoisoiènai	_ e s oo j s oo j tS n a j _
esoisoiènais	_ e s oo j s oo j tS n a j s _
esoisoiènaið	_ e s oo j s oo j tS n a j S _
esoisoièni	_ e s oo j s oo j tS' n' i _
esoisoma	_ e s oo j s oo m a _
esoisomai	_ e s oo j s oo m a j _
esoisomi	_ e s oo j s oo m' i _
esoisomis	_ e s oo j s oo m' i s _
esoisomið	_ e s oo j s oo m' i S _
esoisomo	_ e s oo j s oo m oo _
esoisonit	_ e s oo j s oo n' i t _
esoisot	_ e s oo j s oo t _
esoisu	_ e s oo j s u _
esoisui	_ e s oo j s u j _
esoisuvad	_ e s oo j s u v a t _
esoièna	_ e s oo j tS n a _
esoiènai	_ e s oo j tS n a j _
esoiènais	_ e s oo j tS n a j s _
esoiènaið	_ e s oo j tS n a j S _
esoièni	_ e s oo j tS' n' i _
esoma	_ e s oo m a _
esomai	_ e s oo m a j _
esomi	_ e s oo m' i _
esomis	_ e s oo m' i s _
esomið	_ e s oo m' i S _
esomo	_ e s oo m oo _
esonit	_ e s oo n' i t _
esot	_ e s oo t _
esou	_ e s oo w _
esoui	_ e s oo w j _
esouisou	_ e s oo w j s oo w _
esouisoui	_ e s oo w j s oo w j _
esouisouisu	_ e s oo w j s oo w j s u _
esouisouisui	_ e s oo w j s oo w j s u j _
esouisouièna	_ e s oo w j s oo w j tS n a _
esouisouiènai	_ e s oo w j s oo w j tS n a j _
esouisouiènais	_ e s oo w j s oo w j tS n a j s _
esouisouiènaið	_ e s oo w j s oo w j tS n a j S _
esouisouièni	_ e s oo w j s oo w j tS' n' i _
esouisouma	_ e s oo w j s oo w m a _
esouisoumai	_ e s oo w j s oo w m a j _
esouisoumi	_ e s oo w j s oo w m' i _
esouisoumis	_ e s oo w j s oo w m' i s _
esouisoumið	_ e s oo w j s oo w m' i S _
esouisoumo	_ e s oo w j s oo w m oo _
esouisounit	_ e s oo w j s oo w n' i t _
esouisout	_ e s oo w j s oo w t _
esouisu	_ e s oo w j s u _
esouisui	_ e s oo w j s u j _
esouisuvad	_ e s oo w j s u v a t _
esouièna	_ e s oo w j tS n a _
esouiènai	_ e s oo w j tS n a j _
esouiènais	_ e s oo w j tS n a j s _
esouiènaið	_ e s oo w j tS n a j S _
esouièni	_ e s oo w j tS' n' i _
esouma	_ e s oo w m a _
esoumai	_ e s oo w m a j _
esoumi	_ e s oo w m' i _
esoumis	_ e s oo w m' i s _
esoumið	_ e s oo w m' i S _
esoumo	_ e s oo w m oo _
esounit	_ e s oo w n' i t _
esout	_ e s oo w t _
esperanto	_ e s' p' e r Aa n t oo _
est	_ e s t _
esterifik	_ e s' t' e r' i f' i k _
esterin	_ e s' t' e r' i n _
esy	_ e s' ii _
esà	_ e s aA _
esë	_ e s' eE _
eta	_ e t A _
etai	_ E t a j _
etap	_ e t a p _
eti	_ e t' i _
etik	_ e t' i k _
etimologiz	_ e t' i m oo l oo g' i s _
etioli	_ e t' oo l' i _
etis	_ e t' i s _
etið	_ e t' i S _
eto	_ e t oo _
etovad	_ e t oo v a t _
etut	_ e t u t _
etë	_ e t' ee _
etëmut	_ e t' ee m u t _
euo	_ e uo _
eureka	_ e w r' e k a _
evak	_ e v a k _
evangeliz	_ e v a n' g' e l' i s _
evoliucion	_ e v oo l' u ts' oo n _
eðelon	_ e S' e l oo n _
eðk	_ e S k _
fabrik	_ f a b' r' i k _
faksitab	_ f a k' s' i t a p _
faktoriz	_ f a k t oo r' i s _
falc	_ f a l ts _
falsifik	_ f a l' s' i f' i k _
fanatiz	_ f a n a t' i s _
faner	_ f a n' e r _
fantaz	_ f a n t a s _
farap	_ f a r a p _
farg	_ f a r k _
farga	_ f a r g a _
fargaiks	_ f a r g a j k s _
fargarap	_ f a r g a r a p _
fargclafp	_ f a r k ts l a f p _
fargdnal	_ f a r g d n a l _
fargelet	_ f a r' g' e l' e t _
fargeletoidar	_ f a r' g' e l' e t oo j d a r _
fargetni	_ f a r' g' e t' n' i _
farggrub	_ f a r g g r u p _
fargilak	_ f a r' g' i l a k _
fargilop	_ f a r' g' i l oo p _
farginalpoerets	_ f a r' g' i n a l p oo e r' e t s _
farginmil	_ f a r' g' i n' m' i l _
fargipe	_ f a r' g' i p' e _
fargirailos	_ f a r' g' i r a j l oo s _
fargitabomret	_ f a r' g' i t a b oo m' r' e t _
fargitla	_ f a r' g' i t l a _
fargkram	_ f a r k k r a m _
fargobmuromena	_ f a r g oo b m u r oo m' e n a _
fargodipar	_ f a r g oo d' i p a r _
fargodno	_ f a r g oo d n oo _
fargodo	_ f a r g oo d oo _
fargoeg	_ f a r g oo e k _
fargoelap	_ f a r g oo e l a p _
fargoemim	_ f a r g oo e m' i m _
fargoeram	_ f a r g oo e r a m _
fargoerets	_ f a r g oo e r' e t s _
fargoerohc	_ f a r g oo e r oo h ts _
fargognab	_ f a r g oo g n a p _
fargogol	_ f a r g oo g oo l _
fargohcisp	_ f a r g oo h' ts' i s p _
fargoib	_ f a r g oo j p _
fargoidrak	_ f a r g oo j d r a k _
fargoilbib	_ f a r g oo j l' b' i p _
fargoileh	_ f a r g oo j l' e h _
fargoilehotof	_ f a r g oo j l' e h oo t oo f _
fargoim	_ f a r g oo j m _
fargoisrot	_ f a r g oo j s r oo t _
fargoivuilp	_ f a r g oo j v u j l p _
fargokarot	_ f a r g oo k a r oo t _
fargokiskel	_ f a r g oo k' i s' k' e l _
fargolicso	_ f a r g oo l' i ts s oo _
fargoliforp	_ f a r g oo l' i f oo r p _
fargomed	_ f a r g oo m' e t _
fargomena	_ f a r g oo m' e n a _
fargomik	_ f a r g oo m' i k _
fargomret	_ f a r g oo m' r' e t _
fargomsies	_ f a r g oo m' s' ie s _
fargomtira	_ f a r g oo m' t' i r a _
fargomuenp	_ f a r g oo m u e n p _
fargomzitelp	_ f a r g oo m' z' i t' e l p _
fargonarip	_ f a r g oo n a r' i p _
fargonecs	_ f a r g oo n' e ts s _
fargonof	_ f a r g oo n oo f _
fargonorhc	_ f a r g oo n oo r h ts _
fargonorok	_ f a r g oo n oo r oo k _
fargonortkele	_ f a r g oo n oo r' t' k' e l' e _
fargonos	_ f a r g oo n oo s _
fargonte	_ f a r g oo n' t' e _
fargopit	_ f a r g oo p' i t _
fargopot	_ f a r g oo p oo t _
fargorab	_ f a r g oo r a p _
fargorailop	_ f a r g oo r a j l oo p _
fargorbiv	_ f a r g oo r' b' i v _
fargorbmo	_ f a r g oo r b m oo _
fargordih	_ f a r g oo r' d' i h _
fargorea	_ f a r g oo r' e a _
fargoreleska	_ f a r g oo r' e l' e s k a _
fargorgih	_ f a r g oo r' g' i h _
fargoripað	_ f a r g oo r' i p a S _
fargoroetem	_ f a r g oo r oo e t' e m _
fargoroetemoidar	_ f a r g oo r oo e t' e m oo j d a r _
fargortkeps	_ f a r g oo r' t' k' e p s _
fargortkepsoidar	_ f a r g oo r' t' k' e p s oo j d a r _
fargortsa	_ f a r g oo r t s a _
fargosir	_ f a r g oo s' i r _
fargoskod	_ f a r g oo s k oo t _
fargospile	_ f a r g oo s' p' i l' e _
fargosruk	_ f a r g oo s r u k _
fargotalid	_ f a r g oo t a l' i t _
fargotamenik	_ f a r g oo t a m' e n' i k _
fargotamorhc	_ f a r g oo t a m oo r h ts _
fargotamred	_ f a r g oo t a m' r' e t _
fargotanidrook	_ f a r g oo t a n' i d r oo oo k _
fargotengam	_ f a r g oo t' e n g a m _
fargotets	_ f a r g oo t' e t s _
fargotil	_ f a r g oo t' i l _
fargotkeh	_ f a r g oo t' k' e h _
fargotkepsortsa	_ f a r g oo t' k' e p s oo r t s a _
fargotkepsrep	_ f a r g oo t' k' e p' s' r' e p _
fargotnap	_ f a r g oo t n a p _
fargotof	_ f a r g oo t oo f _
fargotrak	_ f a r g oo t r a k _
fargotua	_ f a r g oo t u a _
fariþ	_ f a r' i S _
farðir	_ f a r' S' i r _
fas	_ f a s _
fatoilbib	_ f a t oo j l' b' i p _
fatonek	_ f a t oo n' e k _
favoriz	_ f a v oo r' i s _
faðist	_ f a S' i s t _
fecht	_ f' e x t _
fejb	_ f' e j' p _
fejler	_ f' e j' l' e r _
fejlerab	_ f' e j' l' e r a p _
fejleroh	_ f' e j' l' e r oo h _
fejlerorkam	_ f' e j' l' e r oo r k a m _
fejlerorkim	_ f' e j' l' e r oo r' k' i m _
felb	_ f' e l p _
femininum	_ f' e m' i n' I n u m _
fenozi	_ f' e n oo z' i _
fermamente	_ f' e r m a m' Ea n' t' e _
ferment	_ f' e r' m' e n t _
ferrari	_ f' e r r aA r' i _
festivamente	_ f' e s' t' i v a m' Ea n' t' e _
fezoj	_ f' e z oo j' _
fezoþd	_ f' e z oo S t _
fezuj	_ f' e z u j' _
feð	_ f' e S _
fiasko	_ f' eA s k oo _
fiat	_ f' i aA t _
fibtsor	_ f' i p t s oo r _
fielð	_ f' ie l S _
fierd	_ f' ie r t _
fies	_ f' ie s _
figûr	_ f' i g uu r _
fih	_ f' i h _
fiks	_ f' i k s _
filak	_ f' i l a k _
filg	_ f' i l k _
filgirt	_ f' i l' g' i r t _
filgoreih	_ f' i l g oo r' e j h _
filgortep	_ f' i l g oo r' t' e p _
film	_ f' i l m _
filosof	_ f' i l oo s oo f _
filtr	_ f' i l t r _
filë	_ f' i l' eE _
filð	_ f' i l S _
finans	_ f' i n a n s _
finið	_ f' i n' i S _
fir	_ f' i r _
firat	_ f' i r a t _
fireð	_ f' i r' e S _
firg	_ f' i r k _
firgogol	_ f' i r g oo g oo l _
firkopa	_ f' i r k oo p a _
fisoj	_ f' i s oo j' _
fitarap	_ f' i t a r a p _
fizo	_ f' i z O _
fla	_ f l a _
flar	_ f l a r _
fle	_ f' l' e _
fled	_ f' l' e t _
fleð	_ f' l' e S _
flirt	_ f' l' i r t _
fliukt	_ f' l' u k t _
floda	_ f l oo d a _
flodur	_ f l oo d u r _
flog	_ f l oo k _
flor	_ f l oo r _
fluor	_ f l uo r _
fluoresc	_ f l uo r' e s ts _
fmem	_ f' m' e m _
fmil	_ f' m' i l _
fmilomeh	_ f' m' i l oo m' e h _
fmin	_ f' m' i n _
fmuirt	_ f m u j r t _
fohhcrik	_ f oo h' h' ts' r' i k _
fohtutð	_ f oo h t u t S _
foje	_ f o j' E _
fojë	_ f oo j' eE _
fokus	_ f o k U s _
folio	_ f O l' oo _
folium	_ f O l' u m _
form	_ f oo r m _
formaliz	_ f oo r m a l' i s _
formalë	_ f oo r m a l' ee _
format	_ f oo r m a t _
formin	_ f oo r' m' i n _
formul	_ f oo r m u l _
fors	_ f oo r s _
forte	_ f oo r' t' e _
fortogilo	_ f oo r t oo g' i l oo _
fortoreteh	_ f oo r t oo r' e t' e h _
fortotua	_ f oo r t oo t u a _
forts	_ f oo r t s _
fortsatak	_ f oo r t s a t a k _
fortsitna	_ f oo r' t' s' i t n a _
fortsopa	_ f oo r t s oo p a _
fos	_ f oo s _
fosfat	_ f oo s f a t _
fosforesc	_ f oo s f oo r' e s ts _
fosolif	_ f oo s oo l' i f _
fosolifoduesp	_ f oo s oo l' i f oo d u e s p _
fotoateljë	_ f oo t oo a t' e l' j' eE _
fotograf	_ f oo t oo g r a f _
fotoiðelektrin	_ f oo t oo j S' e l' e k' t' r' i n _
fotokopij	_ f oo t oo k oo p' i j' _
fotometr	_ f oo t oo m' e t r _
fotðiðk	_ f oo t' S' i S k _
fra	_ f r A _
fracht	_ f r a x t _
frakcion	_ f r a k' ts' oo n _
franko	_ f r Aa n k oo _
frau	_ f r Aa w _
fraz	_ f r a s _
freken	_ f' r' E k' e n _
frem	_ f' r' e m _
frez	_ f' r' e s _
friz	_ f' r' i s _
frodlesuid	_ f r oo d' l' e s u j t _
froilen	_ f r Oo j l' e n _
frok	_ f r oo k _
fromola	_ f r oo m oo l a _
fromolela	_ f r oo m oo l' e l a _
fromoret	_ f r oo m oo r' e t _
frotë	_ f r oo t' eE _
fru	_ f r U _
fruð	_ f r u S _
fuah	_ f u a h _
fuchteli	_ f u x' t' e l' i _
fui	_ f U J _
fuitrat	_ f u j t r a t _
funkcion	_ f u n' k' ts' oo n _
fup	_ f u p _
furjë	_ f u r' j' eE _
fut	_ f u t _
gab	_ g a p _
gaban	_ g a b a n _
gabano	_ g a b a n oo _
gaben	_ g a b' e n _
gabendin	_ g a b' e n' d' i n _
gabmul	_ g a b m u l _
gabot	_ g a b oo t _
gabu	_ g a b U _
gad	_ g a t _
gadak	_ g a d a k _
gadatkip	_ g a d a t' k' i p _
gadatnevð	_ g a d a t' n' e v S _
gadbik	_ g a d' b' i k _
gadin	_ g a d' i n _
gadlugyd	_ g a d l u g' ii t _
gadnam	_ g a d n a m _
gadoun	_ g a d oo w n _
gadpa	_ g a t p a _
gadsgir	_ g a d' z' g' i r _
gadskir	_ g a t' s' k' i r _
gadtkip	_ g a t' t' k' i p _
gaduail	_ g a d u a j l _
gadði	_ g a t' S' i _
gaf	_ g a f _
gafilop	_ g a f' i l oo p _
gafogilo	_ g a f oo g' i l oo _
gafoib	_ g a f oo j p _
gafoirb	_ g a f oo j r p _
gafoithci	_ g a f oo j t' h' ts' i _
gafokemrim	_ g a f oo k' e m' r' i m _
gafokim	_ g a f oo k' i m _
gafokras	_ g a f oo k r a s _
gafomotne	_ g a f oo m oo t' n' e _
gafonets	_ g a f oo n' e t s _
gafonom	_ g a f oo n oo m _
gafooz	_ g a f oo oo s _
gaforkam	_ g a f oo r k a m _
gaforken	_ g a f oo r' k' e n _
gaforkim	_ g a f oo r' k' i m _
gaforpak	_ g a f oo r p a k _
gaforpas	_ g a f oo r p a s _
gaforpok	_ g a f oo r p oo k _
gafotameh	_ g a f oo t a m' e h _
gafotif	_ g a f oo t' i f _
gafotknalp	_ g a f oo t k n a l p _
gafotneb	_ g a f oo t' n' e p _
gag	_ g a k _
gagen	_ g a g' e n _
gagin	_ g a g' i n _
gagno	_ g a g n oo _
gaidr	_ g a j d r _
gaidrin	_ g a j d' r' i n _
gaikðèio	_ g a j k' S' tS' oo _
gail	_ g a j l _
gaila	_ g a j l a _
gailesta	_ g a j l' e s t a _
gailin	_ g a j l' i n _
gailë	_ g a j l' ee _
gaimar	_ g a j m a r _
gainio	_ g a j n' oo _
gairav	_ g a j r a v _
gairin	_ g a j r' i n _
gaisr	_ g a j s r _
gaivali	_ g a j v a l' i _
gaivalio	_ g a j v a l' oo _
gaivalo	_ g A J v a l oo _
gaivelio	_ g a j v' e l' oo _
gaivelë	_ g a j v' eA l' ee _
gaivin	_ g a j v' i n _
gaivë	_ g a j v' ee _
gaið	_ g A J S _
gaiðalio	_ g a j S a l' oo _
gaiðin	_ g a j S' i n _
gaiðuli	_ g a j S u l' i _
gaiþ	_ g a j S _
gaiþdem	_ g a j Z' d' e m _
gaiþë	_ g a j Z' ee _
gajtnas	_ g a j' t n a s _
gaks	_ g a k s _
gal	_ g Aa l _
galab	_ g a l a p _
galabin	_ g a l a b' i n _
galam	_ g a l a m _
galbût	_ g a l b Uu t _
galem	_ g a l' e m _
galemen	_ g a l' e m' e n _
galep	_ g a l' e p _
galepihcra	_ g a l' e p' i h ts r a _
galifë	_ g a l' i f' eE _
galin	_ g a l' i n _
galio	_ g aA l' oo _
galop	_ g a l Oo p _
galug	_ g a l u k _
galvaniz	_ g a l v a n' i s _
galvatrûkèiais	_ g a l v aA t r uu k' tS' e j s _
galvo	_ g a l v oo _
galvotrûkèiais	_ g a l v Oo t r uu k' tS' e j s _
galynë	_ g a l' iI n' ee _
galðna	_ g a l S n a _
galðrevk	_ g a l' S' r' e v k _
galðrof	_ g a l S r oo f _
gam	_ g a m _
gami	_ g a m' i _
gamin	_ g a m' i n _
gams	_ g a m s _
gamsap	_ g a m s a p _
gamsypa	_ g a m' s' ii p a _
gan	_ g A N _
gana	_ g a n A _
ganab	_ g a n a p _
ganabin	_ g a n a b' i n _
ganaburgta	_ g a n a b u r k t a _
ganagli	_ g a n a g' l' i _
ganakeil	_ g a n a k' e j l _
ganakþo	_ g a n a g Z oo _
gananeiv	_ g a n a n' e j v _
ganap	_ g a n a p _
ganatleks	_ g a n a t' l' e k s _
ganatseir	_ g a n a t' s' e j r _
ganatës	_ g a n a t' ee s _
ganav	_ g a n a v _
ganavdnalab	_ g a n a v d n a l a p _
ganavtiam	_ g a n a v' t' e m _
ganavtðiv	_ g a n a v' t' S' i v _
ganavtðkuap	_ g a n a v t S k u a p _
ganavðrið	_ g a n a v' S' r' i S _
ganbenkði	_ g a n' b' e n' k' S' i _
ganburgta	_ g a n b u r k t a _
ganburgun	_ g a n b u r g u n _
ganburgus	_ g a n b u r g u s _
gandin	_ g a n' d' i n _
gandrinë	_ g a n' d' r' I n' ee _
gangari	_ g a n g a r' i _
gangario	_ g a n g a r' oo _
gangoiþ	_ g a n g oo j S _
gangreit	_ g a n' g' r' E J t _
gangren	_ g a n' g' r' e n _
gangrin	_ g a n' g' r' i n _
gangrinë	_ g a n' g' r' i n' ee _
ganio	_ g a n' oo _
ganirt	_ g a n' i r t _
ganivd	_ g a n' i v t _
ganks	_ g a n k s _
ganrek	_ g a n' r' e k _
ganrep	_ g a n' r' e p _
ganrutek	_ g a n r u t' e k _
gansup	_ g a n s u p _
gantit	_ g a n' t' i t _
gantup	_ g a n t u p _
gantûpun	_ g a n t uu p u n _
ganvyg	_ g a n' v' ii k _
ganypa	_ g a n' ii p a _
ganë	_ g aA n' ee _
ganëdin	_ g a n' ee d' i n _
ganðeiv	_ g a n' S' e j v _
gapalag	_ g a p a l a k _
gapoera	_ g a p oo e r a _
gaps	_ g a p s _
gapð	_ g a p S _
gar	_ g A R _
garailiams	_ g a r a j l' e m s _
garainle	_ g a r a j n' l' e _
garainyved	_ g a r a j n' ii v' e t _
garaiþo	_ g a r a j Z oo _
garakyd	_ g a r a k' ii t _
garakþo	_ g a r a g Z oo _
garaly	_ g a r a l' ii _
garaneiv	_ g a r a n' e j v _
garankðtë	_ g a r a n' k' S' t' ee _
garankðèi	_ g a r a n' k' S' tS' i _
garant	_ g a r a n t _
garap	_ g a r a p _
garapð	_ g a r a p S _
garaskua	_ g a r a s k u a _
garatnevð	_ g a r a t' n' e v S _
garatokað	_ g a r a t oo k a S _
garatseir	_ g a r a t' s' e j r _
garatylok	_ g a r a t' ii l oo k _
garavierk	_ g a r a v' ie r k _
garbano	_ g a r b a n oo _
garbin	_ g a r' b' i n _
garbini	_ g a r' b' i n' i _
garbst	_ g a r p s t _
gard	_ g a r t _
gardin	_ g a r' d' i n _
gardyv	_ g a r' d' ii v _
gardë	_ g a r' d' ee _
gardþi	_ g a r' dZ' i _
gareb	_ g a r' e p _
garg	_ g a r k _
gargali	_ g a r g a l' i _
gargaþë	_ g a r g aA Z' ee _
garglin	_ g a r' g' l' i n _
gargs	_ g A R k s _
gargþd	_ g a r k S t _
garin	_ g a r' i n _
garivd	_ g a r' i v t _
gark	_ g A R k _
garks	_ g a r k s _
garkta	_ g a r k t a _
garm	_ g a r m _
garneiv	_ g a r' n' e j v _
garnlem	_ g a r' n' l' e m _
garnyved	_ g a r' n' ii v' e t _
garon	_ g a r oo n _
garprat	_ g a r p r a t _
garps	_ g a r p s _
gars	_ g A R s _
garsi	_ g a r' s' i _
garsin	_ g a r' s' i n _
garsë	_ g A R' s' ee _
gartnevð	_ g a r' t' n' e v S _
garuj	_ g a r u j' _
garuk	_ g a r u k _
garuprat	_ g a r u p r a t _
garvyg	_ g a r' v' ii k _
garyp	_ g a r' ii p _
garë	_ g a r' ee _
garþo	_ g a r Z oo _
gas	_ g a s _
gasap	_ g a s a p _
gaseirp	_ g a s' e j r p _
gaspa	_ g a s p a _
gastroli	_ g a s t r oo l' i _
gasàs	_ g a s aa s _
gasþu	_ g a z Z u _
gatdnal	_ g a d d n a l _
gatob	_ g a t oo p _
gatsednub	_ g a t' s' e d n u p _
gatshcier	_ g a t' s' h' ts' ie r _
gatðrevo	_ g a t' S' r' e v oo _
gau	_ g a w _
gaub	_ g a w p _
gaubst	_ g a w p s t _
gaud	_ g a w t _
gaudinë	_ g a w d' i n' ee _
gaujo	_ g a w j' oo _
gaulio	_ g a w l' oo _
gausin	_ g a w s' i n _
gausë	_ g a w s' ee _
gauþ	_ g a w S _
gauþo	_ g a w Z oo _
gav	_ g a v _
gavaiguad	_ g a v a j g u a t _
gavaiknep	_ g a v a j k' n' e p _
gavailkra	_ g a v a j l k r a _
gavilað	_ g a v' i l a S _
gavirt	_ g a v' i r t _
gavivd	_ g a v' i v t _
gavneiv	_ g a v' n' e j v _
gavnes	_ g a v' n' e s _
gavneðik	_ g a v' n' e S' i k _
gavprat	_ g a v p r a t _
gavrep	_ g a v' r' e p _
gavrutek	_ g a v r u t' e k _
gavsreks	_ g a v' s' r' e k s _
gavtna	_ g a v t n a _
gavtnevð	_ g a v' t' n' e v S _
gavtðiv	_ g a v' t' S' i v _
gavtðut	_ g a v t S u t _
gavuprat	_ g a v u p r a t _
gavuðriv	_ g a v u S' r' i v _
gavþ	_ g a v S _
gaz	_ g a s _
gaza	_ g a z a _
gazgiz	_ g a z' g' i s _
gazifik	_ g a z' i f' i k _
gaðla	_ g a S l a _
gaðlë	_ g a S' l' eE _
gaþ	_ g a S _
gaþa	_ g a Z a _
geb	_ g' e p _
ged	_ g' e t _
geda	_ g' e d a _
gedailgna	_ g' e d a j l g n a _
gedanriþ	_ g' e d a n' r' i S _
gedavred	_ g' e d a v' r' e t _
gedev	_ g' e d' e v _
gedklak	_ g' e t k l a k _
gedly	_ g' e d' l' ii _
gedou	_ g' e d oo w _
gedouadrak	_ g' e d oo w a d r a k _
gedouagli	_ g' e d oo w a g' l' i _
gedouailiams	_ g' e d oo w a j l' e m s _
gedouaireð	_ g' e d oo w a j r' e S _
gedouakuirts	_ g' e d oo w a k u j r t s _
gedouap	_ g' e d oo w a p _
gedouapmurt	_ g' e d oo w a p m u r t _
gedouaryl	_ g' e d oo w a r' ii l _
gedouatyprak	_ g' e d oo w a t' ii p r a k _
gedoueb	_ g' e d oo w e p _
gedouivd	_ g' e d oo w j v t _
gedoun	_ g' e d oo w n _
gedounoduar	_ g' e d oo w n oo d u a r _
gedounuð	_ g' e d oo w n u S _
gedoutavyg	_ g' e d oo w t a v' ii k _
gedoutna	_ g' e d oo w t n a _
gedrus	_ g' e d r u s _
gedtylp	_ g' e t' t' ii l p _
geg	_ g' e k _
gegnë	_ g' eA g' n' ee _
gei	_ g' e j _
geib	_ g' e j p _
geibë	_ g' e j b' ee _
geid	_ g' e j t _
geida	_ g' e j d a _
geidpa	_ g' e j t p a _
geilap	_ g' e j l a p _
geim	_ g' e j m _
geiman	_ g' e j m a n _
geimaruaik	_ g' e j m a r u a j k _
geimeb	_ g' e j m' e p _
geimkiuz	_ g' e j m' k' u s _
geimosrut	_ g' e j m oo s r u t _
geimruaik	_ g' e j m r u a j k _
geimrudiv	_ g' e j m r u d' i v _
geimuaisup	_ g' e j m u a j s u p _
geimudiv	_ g' e j m u d' i v _
geins	_ g' e j n s _
geinsamrip	_ g' e j n s a m' r' i p _
geinsatlab	_ g' e j n s a t l a p _
geinseb	_ g' e j n' s' e p _
geipas	_ g' e j p a s _
geirs	_ g' e j r s _
geirsagli	_ g' e j r s a g' l' i _
geits	_ g' e j t s _
geiè	_ g' e j tS _
geiþ	_ g' e j S _
geiþap	_ g' e j Z a p _
geiþë	_ g' e j Z' ee _
gel	_ g' e l _
gelb	_ g' e l p _
gelbë	_ g' e l' b' ee _
geldin	_ g' e l' d' i n _
geleþi	_ g' e l' e Z' i _
gelk	_ g' Ea l k _
gelmuo	_ g' e l m uO _
geln	_ g' e l n _
gelo	_ g' e l oo _
gelok	_ g' e l oo k _
gelstelë	_ g' e l' s' t' e l' ee _
gelsv	_ g' e l s v _
gelsvin	_ g' e l' s' v' i n _
gelsvë	_ g' E L' s' v' ee _
gelt	_ g' e l t _
geltin	_ g' e l' t' i n _
gelton	_ g' e l t oo n _
geltonin	_ g' e l t oo n' i n _
geltë	_ g' E L' t' ee _
gemo	_ g' e m oo _
gener	_ g' e n' e r _
genio	_ g' eA n' oo _
genti	_ g' e n' t' i _
genë	_ g' E n' ee _
ger	_ g' e r _
geraikðia	_ g' e r a j k' S' e _
gerailot	_ g' e r a j l oo t _
geranplis	_ g' e r a n' p' l' i s _
gerapmurt	_ g' e r a p m u r t _
gerasiv	_ g' e r a s' i v _
gerb	_ g' e r p _
geren	_ g' e r' e n _
gerg	_ g' e r k _
gergþ	_ g' e r k S _
gerin	_ g' e r' i n _
gerklë	_ g' e r' k' l' eE _
gerlot	_ g' e r l oo t _
germaniz	_ g' e r m a n' i s _
geroun	_ g' e r oo w n _
gerumu	_ g' e r u m u _
geruoju	_ g' e r Uo j' u _
gervin	_ g' e r' v' i n _
gervinë	_ g' Ea r' v' i n' ee _
gerë	_ g' e r' ee _
ges	_ g' E s _
gesin	_ g' e s' i n _
geskiniav	_ g' e s' k' i n' e v _
gestelë	_ g' e s' t' e l' ee _
gestikuli	_ g' e s' t' i k u l' i _
getarts	_ g' e t a r t s _
gevlat	_ g' e v l a t _
gevron	_ g' e v r oo n _
giab	_ g' e p _
giabap	_ g' e b a p _
giaboun	_ g' e b oo w n _
giabði	_ g' e p' S' i _
giabþu	_ g' e b Z u _
giad	_ g' e t _
giadaneiv	_ g' e d a n' e j v _
giadap	_ g' e d a p _
giadorp	_ g' e d oo r p _
giadði	_ g' e t' S' i _
giag	_ g' e k _
giam	_ g' e m _
giams	_ g' e m s _
giamseirp	_ g' e m' s' e j r p _
giamsnypa	_ g' e m' s' n' ii p a _
gians	_ g' e n s _
giark	_ g' e r k _
giarkap	_ g' e r k a p _
giars	_ g' e r s _
gias	_ g' e s _
giat	_ g' e t _
giativas	_ g' e t' i v a s _
giats	_ g' e t s _
giatði	_ g' e t' S' i _
giavs	_ g' e v s _
giaþ	_ g' e S _
gib	_ g' i p _
gicnad	_ g' i ts n a t _
