abejaip	_ _
doþailek	_ d oo Z a j l' e k _
doþaièðut	_ d oo Z a j tS S u t _
doþaiþyrk	_ d oo Z a j Z' ii r k _
doþajuan	_ d oo Z a j' u a n _
doþamskiek	_ d oo Z a m' s' k' ie k _
doþamskiev	_ d oo Z a m' s' k' ie v _
doþamsuaj	_ d oo Z a m s u a j' _
doþaneiv	_ d oo Z a n' e j v _
doþasrag	_ d oo Z a s r a k _
doþatpals	_ d oo Z a t p a l s _
doþatrub	_ d oo Z a t r u p _
doþeirp	_ d oo Z' e j r p _
doþmitevs	_ d oo Z' m' i t' e v s _
doþneiv	_ d oo Z' n' e j v _
dpil	_ t' p' i l _
dpilsum	_ t' p' i l s u m _
dra	_ d r a _
drab	_ d r a p _
drabela	_ d r a b' e l a _
drabmob	_ d r a b m oo p _
drabmol	_ d r a b m oo l _
drabnekab	_ d r a b' n' e k a p _
drabsno	_ d r a p s n oo _
drabst	_ d r a p s t _
drabstinë	_ d r a p' s' t' i n' ee _
dradem	_ d r a d' e m _
drag	_ d r a k _
dragap	_ d r a g a p _
dragduil	_ d r a g d u j l _
dragiar	_ d r a g' e r _
dragnava	_ d r a g n a v a _
dragnilab	_ d r a g' n' i l a p _
dragnið	_ d r a g' n' i S _
dragreira	_ d r a g' r' e j r a _
dragrelavak	_ d r a g' r' e l a v a k _
dragtuil	_ d r a k t u j l _
dragypa	_ d r a g' ii p a _
dragûs	_ d r a g uu s _
drah	_ d r a h _
drahcir	_ d r a h' ts' i r _
drahreg	_ d r a h' r' e k _
draibst	_ d r a j p s t _
draik	_ d r a j k _
draikalio	_ d r a j k a l' oo _
draikinë	_ d r a j k' I n' ee _
draikio	_ d r a j k' oo _
drailib	_ d r a j l' i p _
draiskali	_ d r a j s k a l' i _
draj	_ d r a j' _
drajilim	_ d r a j' i l' i m _
drajlog	_ d r a j' l oo k _
drak	_ d r a k _
drakali	_ d r a k a l' i _
drakipe	_ d r a k' i p' e _
drakir	_ d r a k' i r _
drakirep	_ d r a k' i r' e p _
drakodne	_ d r a k oo d' n' e _
drakoim	_ d r a k oo j m _
drakoimodne	_ d r a k oo j m oo d' n' e _
drakok	_ d r a k oo k _
draks	_ d r a k s _
draksap	_ d r a k s a p _
draksoun	_ d r a k s oo w n _
draksta	_ d r a k s t a _
draksuaisup	_ d r a k s u a j s u p _
drakþu	_ d r a g Z u _
dramatin	_ d r a m a t' i n _
dramatiz	_ d r a m a t' i s _
dramblin	_ d r a m' b' l' i n _
dramblo	_ d r a m b l oo _
dramin	_ d r a m' i n _
drams	_ d r a m s _
dranel	_ d r a n' e l _
dranoel	_ d r a n oo e l _
dranreb	_ d r a n' r' e p _
drap	_ d r a p _
drapeg	_ d r a p' e k _
drapir	_ d r a p' i r _
drapoel	_ d r a p oo e l _
drareg	_ d r a r' e k _
drask	_ d r a s k _
draskinë	_ d r a s' k' I n' ee _
drasnam	_ d r a s n a m _
dratsab	_ d r a t s a p _
drau	_ d r a w _
draude	_ d r a w d' e _
draudinë	_ d r a w d' i n' ee _
drauga	_ d r a w g a _
drauge	_ d r a w g' E _
drauits	_ d r a w j t s _
drausmin	_ d r a w s' m' i n _
drav	_ d r a v _
dravaiguad	_ d r a v a j g u a t _
dravaneiv	_ d r a v a n' e j v _
dravap	_ d r a v a p _
dravapardneb	_ d r a v a p a r' d' n' e p _
dravapneiv	_ d r a v a p' n' e j v _
dravardneb	_ d r a v a r' d' n' e p _
dravarp	_ d r a v a r p _
dravatkiad	_ d r a v a t' k' e t _
dravatsiek	_ d r a v a t' s' ie k _
dravatðkirk	_ d r a v a t' S' k' i r k _
dravavët	_ d r a v a v' ee t _
dravde	_ d r a v' d' e _
dravdûb	_ d r a v d uu p _
draveb	_ d r a v' e p _
draveirp	_ d r a v' e j r p _
dravivas	_ d r a v' i v a s _
dravnednav	_ d r a v' n' e d n a v _
dravneiv	_ d r a v' n' e j v _
dravnemsa	_ d r a v' n' e m s a _
dravoh	_ d r a v oo h _
dravoteiv	_ d r a v oo t' e j v _
dravotuat	_ d r a v oo t u a t _
dravrah	_ d r a v r a h _
dravtiaks	_ d r a v' t' e k s _
dravtivas	_ d r a v' t' i v a s _
dravtnas	_ d r a v t n a s _
dravypals	_ d r a v' ii p a l s _
dravëmeþ	_ d r a v' ee m' e S _
dravëpu	_ d r a v' ee p u _
draèir	_ d r a tS' i r _
draèub	_ d r a tS u p _
draði	_ d r a S' i _
draþ	_ d r a S _
draþap	_ d r a Z a p _
draþë	_ d r a Z' eE _
dre	_ d' r' e _
dreb	_ d' r' e p _
drebin	_ d' r' e b' i n _
dreg	_ d' r' e k _
dreif	_ d' r' e j f _
dreiþ	_ d' r' e j S _
drek	_ d' r' e k _
dreks	_ d' r' e k s _
dremb	_ d' r' e m p _
dremþ	_ d' r' e m S _
dren	_ d' r' e n _
dreng	_ d' r' e n k _
drepin	_ d' r' e p' i n _
dres	_ d' r' e s _
dresir	_ d' r' e s' i r _
drev	_ d' r' e v _
drevë	_ d' r' e v' eE _
dreð	_ d' r' e S _
dreðypa	_ d' r' e S' ii p a _
dreþ	_ d' r' e S _
dri	_ d' r' i _
dribd	_ d' r' i p t _
dribin	_ d' r' i b' i n _
driblin	_ d' r' i b' l' i n _
dribno	_ d' r' i b n oo _
dribs	_ d' r' I p s _
dribsen	_ d' r' i p' s' e n _
dribsno	_ d' r' i p s n oo _
dribt	_ d' r' I p t _
dribtelë	_ d' r' i p' t' e l' ee _
dribèio	_ d' r' i p' tS' oo _
driek	_ d' r' iE k _
drig	_ d' r' i k _
drigie	_ d' r' i g' ie _
drigla	_ d' r' i g l a _
drignam	_ d' r' i g n a m _
drigoun	_ d' r' i g oo w n _
drigsiv	_ d' r' i k' s' i v _
drigtuat	_ d' r' i k t u a t _
driguad	_ d' r' i g u a t _
drigyv	_ d' r' i g' ii v _
drigziv	_ d' r' i g' z' i v _
driknas	_ d' r' i k n a s _
driks	_ d' r' I k s _
drikst	_ d' r' I k s t _
drikstelë	_ d' r' i k' s' t' e l' ee _
drikt	_ d' r' I k t _
driktelë	_ d' r' i k' t' e l' ee _
drimbin	_ d' r' i m' b' i n _
drimblin	_ d' r' i m' b' l' i n _
drims	_ d' r' i m s _
drio	_ d' r' oo _
drioko	_ d' r' oo k oo _
drioks	_ d' r' oO k s _
driokst	_ d' r' Oo k s t _
driokstelë	_ d' r' oo k' s' t' e l' ee _
drioskë	_ d' r' oO s' k' ee _
driskinë	_ d' r' I s' k' i n' ee _
driumb	_ d' r' u m p _
driun	_ d' r' u n _
driuok	_ d' r' uO k _
driv	_ d' r' i v _
drivoj	_ d' r' i v oo j' _
drið	_ d' r' i S _
driðailiag	_ d' r' i S a j l' e k _
driðailiem	_ d' r' i S a j l' ie m _
driðainlik	_ d' r' i S a j n' l' i k _
driðairtuaj	_ d' r' i S a j r t u a j' _
driðairuaiþ	_ d' r' i S a j r u a j S _
driðaiþdem	_ d' r' i S a j Z' d' e m _
driðanyrg	_ d' r' i S a n' ii r k _
driðap	_ d' r' i S a p _
driðapalta	_ d' r' i S a p a l t a _
driðareg	_ d' r' i S a r' e k _
driðarivta	_ d' r' i S a r' i v t a _
driðaryt	_ d' r' i S a r' ii t _
driðaskua	_ d' r' i S a s k u a _
driðateik	_ d' r' i S a t' e j k _
driðatkip	_ d' r' i S a t' k' i p _
driðatðknim	_ d' r' i S a t' S' k' n' i m _
driðatûil	_ d' r' i S a t uu i l _
driðavgnel	_ d' r' i S a v' g' n' e l _
driðeb	_ d' r' i S' e p _
driðeirp	_ d' r' i S' e j r p _
driðnemka	_ d' r' i S' n' e m k a _
driðoun	_ d' r' i S oo w n _
driûks	_ d' r' uu k s _
driûkt	_ d' r' Uu k t _
driûktelë	_ d' r' uu k' t' e l' ee _
dro	_ d r oo _
drober	_ d r oo b' e r _
drobiazko	_ d r o b' eA s k oo _
drobli	_ d r oo b' l' i _
drof	_ d r oo f _
drofereh	_ d r oo f' e r' e h _
drofrezer	_ d r oo f' r' e z' e r _
drofsko	_ d r oo f s k oo _
droftrah	_ d r oo f t r a h _
drohcartet	_ d r oo h ts a r' t' e t _
drohcaskeh	_ d r oo h ts a s' k' e h _
drohcatnep	_ d r oo h ts a t' n' e p _
drohcatpeh	_ d r oo h ts a t' p' e h _
drohcirt	_ d r oo h' ts' i r t _
drohcoer	_ d r oo h ts oo e r _
drohconom	_ d r oo h ts oo n oo m _
droif	_ d r oo j f _
drok	_ d r oo k _
droka	_ d r oo k a _
drokadnukes	_ d r oo k a d n u k' e s _
drokanon	_ d r oo k a n oo n _
drokanontnanimod	_ d r oo k a n oo n t n a n' i m oo t _
drokatpes	_ d r oo k a t' p' e s _
drokatpestnanimod	_ d r oo k a t' p' e s t n a n' i m oo t _
drokatskes	_ d r oo k a t' s' k' e s _
droker	_ d r oo k' e r _
drokivalk	_ d r oo k' i v a l k _
droknok	_ d r oo k n oo k _
drol	_ d r oo l _
droldnal	_ d r oo l d n a l _
droldnel	_ d r oo l' d' n' e l _
drolim	_ d r oo l' i m _
dros	_ d r oo s _
drov	_ d r oo v _
drovin	_ d r oo v' i n _
droþ	_ d r oo S _
droþinë	_ d r oo Z' i n' ee _
droþli	_ d r oo Z' l' I _
droþtelë	_ d r oo S' t' e l' ee _
drugia	_ d r u g' e _
druk	_ d r u k _
druks	_ d r u k s _
drums	_ d r U M s _
drumstë	_ d r U M' s' t' ee _
drumsèio	_ d r u m' S' tS' oo _
drumzlin	_ d r u m' z' l' i n _
drumzlë	_ d r u m' z' l' eE _
drun	_ d r u n _
drung	_ d r u n k _
drungin	_ d r u n' g' i n _
drungnin	_ d r u n' g' n' i n _
drungnë	_ d r u n' g' n' ee _
druok	_ d r uO k _
drusba	_ d r u z b a _
drusk	_ d r u s k _
druskin	_ d r u s' k' i n _
druskë	_ d r U s' k' ee _
drybs	_ d' r' ii p s _
drybt	_ d' r' Ii p t _
drybtelë	_ d' r' ii p' t' e l' ee _
dryk	_ d' r' iI k _
dryks	_ d' r' iI k s _
drykst	_ d' r' Ii k s t _
drykstelë	_ d' r' ii k' s' t' e l' ee _
drykt	_ d' r' Ii k t _
dryktelë	_ d' r' ii k' t' e l' ee _
drykèio	_ d' r' ii k' tS' oo _
dryþ	_ d' r' ii S _
dryþin	_ d' r' ii Z' i n _
dràsa	_ d r aa s A _
dràsin	_ d r aa s' i n _
dràsë	_ d r aa s' ee _
drëb	_ d' r' ee p _
drëbtelë	_ d' r' ee p' t' e l' ee _
drëbèio	_ d' r' ee p' tS' oo _
drëg	_ d' r' ee k _
drëgmuo	_ d' r' ee g m uO _
drëgn	_ d' r' ee g n _
drëgnin	_ d' r' ee g' n' i n _
drëgnë	_ d' r' ee g' n' ee _
drëk	_ d' r' Ee k _
drëkin	_ d' r' ee k' i n _
drëkstelë	_ d' r' ee k' s' t' e l' ee _
drû	_ d r uu _
drûtin	_ d r uu t' i n _
drûtyn	_ d r uu t' iI n _
drûtë	_ d r uu t' ee _
duab	_ d u a p _
duabap	_ d u a b a p _
duabmas	_ d u a b m a s _
duaboun	_ d u a b oo w n _
duabðað	_ d u a p S a S _
duad	_ d u a t _
duag	_ d u a k _
duagajëv	_ d u a g a j' ee v _
duagap	_ d u a g a p _
duagasrag	_ d u a g a s r a k _
duagavrup	_ d u a g a v r u p _
duagdeg	_ d u a g' d' e k _
duageirp	_ d u a g' e j r p _
duagla	_ d u a g l a _
duagleg	_ d u a g' l' e k _
duagliv	_ d u a g' l' i v _
duagmir	_ d u a g' m' i r _
duagnir	_ d u a g' n' i r _
duagnuð	_ d u a g n u S _
duagobiaþ	_ d u a g oo b' e S _
duagra	_ d u a g r a _
duagsum	_ d u a k s u m _
duagtðkuap	_ d u a k t S k u a p _
duaguail	_ d u a g u a j l _
duagus	_ d u a g u s _
duagyb	_ d u a g' ii p _
duagyþ	_ d u a g' ii S _
duagëklud	_ d u a g' ee k l u t _
duagëlep	_ d u a g' ee l' e p _
duagësum	_ d u a g' ee s u m _
duail	_ d u a j l _
duaileks	_ d u a j l' e k s _
duailg	_ d u a j l k _
duailk	_ d u a j l k _
duairg	_ d u a j r k _
duairks	_ d u a j r k s _
duairksoun	_ d u a j r k s oo w n _
duaið	_ d u a j S _
duaj	_ d u a j' _
duajpsði	_ d u a j' p' s' S' i _
duaks	_ d u a k s _
duaksia	_ d u a k' s' e _
duaksoun	_ d u a k s oo w n _
dualg	_ d u a l k _
dualgeirp	_ d u a l' g' e j r p _
dualgnas	_ d u a l g n a s _
dualgouþu	_ d u a l g oo w Z u _
dualgþu	_ d u a l g Z u _
duam	_ d u a m _
duampa	_ d u a m p a _
duamypa	_ d u a m' ii p a _
duan	_ d u a n _
duanap	_ d u a n a p _
duanavas	_ d u a n a v a s _
duaneb	_ d u a n' e p _
duanen	_ d u a n' e n _
duanivas	_ d u a n' i v a s _
duanmeþ	_ d u a n' m' e S _
duanotmag	_ d u a n oo t m a k _
duans	_ d u a n s _
duantevs	_ d u a n' t' e v s _
duantkip	_ d u a n' t' k' i p _
duanàs	_ d u a n aa s _
duanëmeþ	_ d u a n' ee m' e S _
duaps	_ d u a p s _
duapsailig	_ d u a p s a j l' i k _
duapsaièlus	_ d u a p s a j tS l u s _
duapsaièðkolp	_ d u a p s a j tS S k oo l p _
duapsap	_ d u a p s a p _
duapseirp	_ d u a p' s' e j r p _
duapsnirtic	_ d u a p' s' n' i r' t' i ts _
duapsnyv	_ d u a p' s' n' ii v _
duapsoun	_ d u a p s oo w n _
duapsrep	_ d u a p' s' r' e p _
duapsrûs	_ d u a p s r uu s _
duapsta	_ d u a p s t a _
duapstna	_ d u a p s t n a _
duapsði	_ d u a p' s' S' i _
duapsþu	_ d u a b z Z u _
duar	_ d u a r _
duardivas	_ d u a r' d' i v a s _
duardpa	_ d u a r t p a _
duarep	_ d u a r' e p _
duarg	_ d u a r k _
duarig	_ d u a r' i k _
duaroun	_ d u a r oo w n _
duarps	_ d u a r p s _
duas	_ d u a s _
duata	_ d u a t a _
duaðailot	_ d u a S a j l oo t _
duaðdyþ	_ d u a Z' d' ii S _
dub	_ d u p _
dubailuaik	_ d u b a j l u a j k _
dubainskla	_ d u b a j n s k l a _
dubairuat	_ d u b a j r u a t _
dubaivielg	_ d u b a j v' ie l k _
dubalið	_ d u b a l' i S _
dubamlek	_ d u b a m' l' e k _
dubanyvþ	_ d u b a n' ii v S _
dubatðkal	_ d u b a t S k a l _
dubin	_ d u b' i n _
dubli	_ d u b' l' i _
dubs	_ d U p s _
dubt	_ d U p t _
dubtelë	_ d u p' t' e l' ee _
dubtëlyks	_ d u p' t' ee l' ii k s _
dubuo	_ d u b uO _
duburi	_ d u b u r' i _
duden	_ d u d' e n _
dudno	_ d u d n oo _
dudulkt	_ d u d U l k t _
dug	_ d u k _
dugaj	_ d u g a j' _
duh	_ d u h _
duikð	_ d u j k S _
duil	_ d u j l _
duilerp	_ d u j l' e r p _
duilretni	_ d u j l' r' e t' n' i _
duite	_ d u j t' E _
duj	_ d u j' _
dujin	_ d u j' i n _
dujo	_ d U j' oo _
dujofik	_ d u j' oo f' i k _
dujë	_ d u j' ee _
dukarab	_ d u k a r a p _
dukart	_ d U k a r t _
dukse	_ d u k' s' e _
dukslin	_ d u k' s' l' i n _
dukslë	_ d u k' s' l' ee _
duktë	_ d u k' t' eE _
dula	_ d u l A _
dulam	_ d u l Aa m _
dulbin	_ d u l' b' i n _
dulbs	_ d U L p s _
dulep	_ d u l' e p _
dulg	_ d u l k _
dulk	_ d U l k _
dulken	_ d u l' k' e n _
dulkin	_ d u l' k' i n _
dulksno	_ d u l k s n oo _
dulkt	_ d U l k t _
dulktelë	_ d u l' k' t' e l' ee _
duls	_ d U L s _
duman	_ d u m a n _
dumbl	_ d u m b l _
dumblin	_ d u m' b' l' i n _
dumblo	_ d U M b l oo _
dumblë	_ d U M' b' l' ee _
dumlat	_ d u m l a t _
dumpli	_ d u m' p' l' i _
dumreb	_ d u m' r' e p _
dumðlë	_ d U m' S' l' ee _
dun	_ d u n _
dund	_ d u n t _
dunden	_ d u n' d' e n _
dundin	_ d u n' d' i n _
dunduli	_ d u n d u l' i _
dung	_ d u n k _
dunks	_ d u n k s _
dunksen	_ d u n' k' s' e n _
dunksno	_ d u n k s n oo _
dunkst	_ d U n k s t _
dunkstelë	_ d u n' k' s' t' e l' ee _
dunksèio	_ d u n' k' S' tS' oo _
duns	_ d U N s _
duob	_ d uo p _
duobë	_ d uo b' ee _
duodinë	_ d uo d' i n' ee _
duokð	_ d Uo k S _
duomuo	_ d uo m uO _
duonelia	_ d uo n' e l' e _
dur	_ d u r _
duraðap	_ d u r a S a p _
durdouj	_ d u r d oo w j' _
durg	_ d u r k _
durks	_ d u r k s _
durps	_ d u r p s _
durpë	_ d U r' p' ee _
dursmat	_ d u r s m a t _
durst	_ d U r s t _
durstelë	_ d u r' s' t' e l' ee _
durstinë	_ d u r' s' t' i n' ee _
dusin	_ d u s' i n _
duslin	_ d u s' l' i n _
duslë	_ d u s' l' ee _
dustelë	_ d u s' t' e l' ee _
dusyk	_ d U s' ii k _
dutilpma	_ d u t' i l p m a _
dutilpmaozi	_ d u t' i l p m a oo z' i _
dutitla	_ d u t' i t l a _
duvdied	_ d u v' d' ie t _
duviloh	_ d u v' i l oo h _
duðanbë	_ d u S a n' b' eE _
duþavlag	_ d u Z a v l a k _
duþavët	_ d u Z a v' ee t _
duþgomþ	_ d u Z g oo m S _
duþivas	_ d u Z' i v a s _
duþlorb	_ d u Z l oo r p _
duþëkalb	_ d u Z' ee k a l p _
dva	_ d v a _
dvail	_ d v a j l _
dvailin	_ d v a j l' i n _
dvakin	_ d v a k' i n _
dvakinë	_ d v a k' i n' ee _
dvas	_ d v a s _
dvasin	_ d v a s' i n _
dvazg	_ d v a s k _
dveja	_ d' v' e j' e _
dvejaip	_ d' v' e j' E J p _
dvejin	_ d' v' e j' i n _
dvejo	_ d' v' eA j' oo _
dvejoks	_ d' v' e j' Oo k s _
dvejë	_ d' v' e j' ee _
dvelk	_ d' v' E L k _
dvelks	_ d' v' E L k s _
dvelktelë	_ d' v' e l' k' t' e l' ee _
dvi	_ d' v' I _
dvibalsë	_ d' v' i b A L' s' ee _
dvideðimt	_ d' v' I d' e S' i m t _
dviejose	_ d' v' ie j' oo s' E _
dviejuose	_ d' v' ie j' uo s' E _
dviem	_ d' v' ie m _
dviese	_ d' v' Ie s' e _
dvigubin	_ d' v' i g u b' i n _
dvigubë	_ d' v' i g u b' ee _
dvilink	_ d' v' i l' i n k _
dvilinki	_ d' v' I l' i n' k' i _
dvilks	_ d' v' i l k s _
dvilkt	_ d' v' I l k t _
dvilktelë	_ d' v' i l' k' t' e l' ee _
dvilkèio	_ d' v' i l' k' tS' oo _
dvilyp	_ d' v' i l' ii p _
dvisin	_ d' v' i s' i n _
dvisëda	_ d' v' I s' ee d a _
dvo	_ d v oo _
dvok	_ d v oO k _
dvokin	_ d v oo k' i n _
dvoklin	_ d v oo k' l' i n _
dvoklinë	_ d v Oo k' l' i n' ee _
dvokt	_ d v Oo k t _
dvoktelë	_ d v oo k' t' e l' ee _
dvylin	_ d' v' ii l' i n _
dvylinë	_ d' v' ii l' i n' ee _
dvël	_ d' v' ee l _
dvës	_ d' v' eE s _
dvësin	_ d' v' ee s' i n _
dvësinë	_ d' v' ee s' i n' ee _
dvësio	_ d' v' ee s' oo _
dyd	_ d' ii t _
dydorkam	_ d' ii d oo r k a m _
dyeb	_ d' ii e p _
dyg	_ d' ii k _
dygs	_ d' iI k s _
dygsni	_ d' ii k' s' n' i _
dygèio	_ d' ii k' tS' oo _
dyk	_ d' iI k _
dyka	_ d' ii k A _
dykaduonia	_ d' ii k a d uo n' e _
dykin	_ d' ii k' i n _
dykini	_ d' ii k' i n' i _
dykinia	_ d' ii k' i n' e _
dykinë	_ d' ii k' I n' ee _
dykom	_ d' ii k oo m _
dykomis	_ d' ii k oo m' I s _
dyks	_ d' iI k s _
dyksryv	_ d' ii k' s' r' ii v _
dykë	_ d' ii k' ee _
dyl	_ d' ii l _
dylap	_ d' ii l a p _
dylinë	_ d' ii l' i n' ee _
dylot	_ d' ii l oo t _
dyloun	_ d' ii l oo w n _
dyls	_ d' ii l s _
dylta	_ d' ii l t a _
dylëluas	_ d' ii l' ee l u a s _
dylði	_ d' ii l' S' i _
dypa	_ d' ii p a _
dyr	_ d' ii r _
dyrb	_ d' ii r p _
dyrftog	_ d' ii r f t oo k _
dyrin	_ d' ii r' i n _
dyrinë	_ d' ii r' i n' ee _
dyrks	_ d' ii r k s _
dyrkstna	_ d' ii r k s t n a _
dyrksàs	_ d' ii r k s aa s _
dyvap	_ d' ii v a p _
dyvdaþ	_ d' ii v d a S _
dyvdeg	_ d' ii v' d' e k _
dyvguad	_ d' ii v g u a t _
dyvie	_ d' ii v' ie _
dyvieb	_ d' ii v' ie p _
dyviub	_ d' ii v' u p _
dyvla	_ d' ii v l a _
dyvlag	_ d' ii v l a k _
dyvlim	_ d' ii v' l' i m _
dyvlu	_ d' ii v l u _
dyvmir	_ d' ii v' m' i r _
dyvnim	_ d' ii v' n' i m _
dyvod	_ d' ii v oo t _
dyvoj	_ d' ii v oo j' _
dyvra	_ d' ii v r a _
dyvrab	_ d' ii v r a p _
dyvran	_ d' ii v r a n _
dyvrat	_ d' ii v r a t _
dyvreg	_ d' ii v' r' e k _
dyvren	_ d' ii v' r' e n _
dyvris	_ d' ii v' r' i s _
dyvro	_ d' ii v r oo _
dyvron	_ d' ii v r oo n _
dyvs	_ d' ii v s _
dyvsie	_ d' ii v' s' ie _
dyvsiv	_ d' ii v' s' i v _
dyvsnednav	_ d' ii v' s' n' e d n a v _
dyvsokluk	_ d' ii v s oo k l u k _
dyvtuat	_ d' ii v t u a t _
dyvtub	_ d' ii v t u p _
dyvða	_ d' ii v S a _
dyvðiav	_ d' ii v' S' e v _
dyvðua	_ d' ii v S u a _
dyvþam	_ d' ii v Z a m _
dyvþarg	_ d' ii v Z a r k _
dyð	_ d' Ii S _
dyþ	_ d' ii S _
dyþameiþ	_ d' ii Z a m' e j S _
dyþitkan	_ d' ii Z' i t k a n _
dyþpup	_ d' ii S p u p _
dyþàs	_ d' ii Z aa s _
dzagno	_ dz a g n oo _
dzal	_ dz a l _
dzarb	_ dz a r p _
dzarts	_ dz a r t s _
dzbav	_ dz b a v _
dzen	_ dz' E n _
dziav	_ dz' e v _
dziavamrip	_ dz' e v a m' r' i p _
dziavap	_ dz' e v a p _
dziavavyg	_ dz' e v a v' ii k _
dziaveirp	_ dz' e v' e j r p _
dziavg	_ dz' e v k _
dziavika	_ dz' e v' i k a _
dziavkû	_ dz' e v k uu _
dziavonecs	_ dz' e v oo n' e ts s _
dziavorp	_ dz' e v oo r p _
dziavoteiv	_ dz' e v oo t' e j v _
dziavotmag	_ dz' e v oo t m a k _
dziavotðark	_ dz' e v oo t S a r k _
dziavpa	_ dz' e v p a _
dziavta	_ dz' e v t a _
dziavëluasap	_ dz' e v' ee l u a s a p _
dziavëmeþ	_ dz' e v' ee m' e S _
dziavði	_ dz' e v' S' i _
dziavþu	_ dz' e v Z u _
dziaþ	_ dz' e S _
dziaþaruaik	_ dz' e Z a r u a j k _
dziaþtkip	_ dz' e S' t' k' i p _
dzievus	_ dz' ie v u s _
dzil	_ dz' i l _
dzilainrag	_ dz' i l a j n r a k _
dzilalkës	_ dz' i l a l' k' ee s _
dzilanrav	_ dz' i l a n r a v _
dzilardnag	_ dz' i l a r d n a k _
dzilivd	_ dz' i l' i v t _
dzimbin	_ dz' i m' b' i n _
dzimbinë	_ dz' i m' b' i n' ee _
dzin	_ dz' I n _
dzing	_ dz' i n k _
dzingin	_ dz' i n' g' i n _
dzings	_ dz' i n k s _
dzingt	_ dz' I n k t _
dzingtelë	_ dz' i n' k' t' e l' ee _
dzinguli	_ dz' i n g u l' i _
dzirin	_ dz' i r' i n _
dziubin	_ dz' u b' i n _
dziubs	_ dz' u p s _
dziubt	_ dz' U p t _
dziubtelë	_ dz' u p' t' e l' ee _
dziudo	_ dz' u d O _
dziuobs	_ dz' uo p s _
dzivg	_ dz' i v k _
dzmal	_ dz m a l _
dzmarg	_ dz m a r k _
dzmav	_ dz m a v _
dzmavagli	_ dz m a v a g' l' i _
dzmavaigyl	_ dz m a v a j g' ii l _
dzmavailðkuið	_ dz m a v a j l S k u j S _
dzmavamûd	_ dz m a v a m uu t _
dzmavaneiv	_ dz m a v a n' e j v _
dzmavapmurt	_ dz m a v a p m u r t _
dzmavirt	_ dz m a v' i r t _
dzmavivd	_ dz m a v' i v t _
dzmavneiv	_ dz m a v' n' e j v _
dzmavortiak	_ dz m a v oo r' t' e k _
dzmavrutek	_ dz m a v r u t' e k _
dzmavta	_ dz m a v t a _
dzmavteil	_ dz m a v' t' e j l _
dzmirg	_ dz' m' i r k _
dzmirgoun	_ dz' m' i r g oo w n _
dzmul	_ dz m u l _
dzmurg	_ dz m u r k _
dzoirg	_ dz oo j r k _
dzomarg	_ dz oo m a r k _
dzorboun	_ dz oo r b oo w n _
dzrab	_ dz r a p _
dzrabadouj	_ dz r a b a d oo w j' _
dzrabadur	_ dz r a b a d u r _
dzrabailiams	_ dz r a b a j l' e m s _
dzrabakub	_ dz r a b a k u p _
dzrabakþo	_ dz r a b a g Z oo _
dzrabaliþ	_ dz r a b a l' i S _
dzrabap	_ dz r a b a p _
dzrabdouj	_ dz r a b d oo w j' _
dzrabdur	_ dz r a b d u r _
dzrabeb	_ dz r a b' e p _
dzrabnylëm	_ dz r a b' n' ii l' ee m _
dzuairg	_ dz u a j r k _
dzualb	_ dz u a l p _
dzualbarots	_ dz u a l b a r oo t s _
dzualbatsyks	_ dz u a l b a t' s' ii k s _
dzualbrots	_ dz u a l b r oo t s _
dzualbsup	_ dz u a l p s u p _
dzualbtna	_ dz u a l p t n a _
dzuarg	_ dz u a r k _
dzuarts	_ dz u a r t s _
dzurb	_ dz u r p _
dzurg	_ dz u r k _
dzurks	_ dz u r k s _
dzvakt	_ dz v A k t _
dzvaktelë	_ dz v a k' t' e l' ee _
dzyr	_ dz' ii r _
dzyv	_ dz' ii v _
dzyvap	_ dz' ii v a p _
dzyveb	_ dz' ii v' e p _
dzëmerg	_ dz' ee m' e r k _
dzëv	_ dz' ee v _
dzûk	_ dz uu k _
dzûkë	_ dz uU k' ee _
dzûrbmas	_ dz uu r b m a s _
dzûrg	_ dz uu r k _
dëaiþdzbav	_ d' ee a j Z dz b a v _
dëap	_ d' ee a p _
dëasiv	_ d' ee a s' i v _
dëavspav	_ d' ee a v s p a v _
dëb	_ d' ee p _
dëbs	_ d' eE p s _
dëbt	_ d' Ee p t _
dëbtelë	_ d' ee p' t' e l' ee _
dëbèio	_ d' ee p' tS' oo _
dëd	_ d' ee t _
dëdin	_ d' ee d' i n _
dëdinë	_ d' eE d' i n' ee _
dëdo	_ d' ee d oo _
dëdzbav	_ d' ee dz b a v _
dëdzurks	_ d' ee dz u r k s _
dëdþi	_ d' ee dZ' i _
dëg	_ d' ee k _
dëgeb	_ d' ee g' e p _
dëgen	_ d' ee g' e n _
dëgur	_ d' ee g u r _
dëk	_ d' Ee k _
dëko	_ d' ee k oo _
dëkui	_ d' eE k u j _
dël	_ d' ee l _
dëlagua	_ d' ee l a g u a _
dëlak	_ d' ee l a k _
dëlakprat	_ d' ee l a k p r a t _
dëlakðeirp	_ d' ee l a k' S' e j r p _
dëlb	_ d' ee l p _
dëlei	_ d' eE l' e j _
dëlep	_ d' ee l' e p _
dëlia	_ d' ee l' e _
dëlio	_ d' ee l' oo _
dëloþ	_ d' ee l oo S _
dëlto	_ d' ee l t oO _
dëmri	_ d' ee m' r' i _
dëmuo	_ d' ee m uO _
dëmë	_ d' ee m' eE _
dëmû	_ d' ee m uu _
dëp	_ d' ee p _
